,total_seconds,normalized_power_level
0,0,0.00749
1,1,0.00738
2,2,0.00738
3,3,0.00738
4,4,0.00738
5,5,0.00738
6,6,0.00738
7,7,0.00738
8,8,0.00738
9,9,0.00738
10,10,0.9973
11,11,0.9973
12,12,0.9973
13,13,0.9973
14,14,0.9973
15,15,0.998291
16,16,0.998291
17,17,0.998291
18,18,0.998291
19,19,0.998291
20,20,0.01487
21,21,0.01487
22,22,0.01487
23,23,0.01487
24,24,0.01487
25,25,0.01487
26,26,0.01487
27,27,0.01487
28,28,0.01487
29,29,0.01487
30,30,0.01487
31,31,0.01487
32,32,0.01487
33,33,0.01487
34,34,0.01487
35,35,0.01487
36,36,0.01487
37,37,0.01487
38,38,0.01487
39,39,0.01487
40,40,0.01487
41,41,0.01476
42,42,0.01476
43,43,0.01476
44,44,0.01476
45,45,0.01476
46,46,0.01476
47,47,0.01476
48,48,1.0049
49,49,1.0049
50,50,1.0049
51,51,1.0049
52,52,1.0049
53,53,1.000604
54,54,1.000604
55,55,1.000604
56,56,1.000604
57,57,1.000604
58,58,1.000604
59,59,1.000604
60,60,1.000604
61,61,1.000604
62,62,0.01476
63,63,0.01476
64,64,0.01476
65,65,0.01476
66,66,0.01476
67,67,0.01476
68,68,0.01476
69,69,0.01476
70,70,0.01476
71,71,0.01476
72,72,0.01487
73,73,0.01487
74,74,0.01487
75,75,0.01487
76,76,0.01487
77,77,0.01487
78,78,0.01487
79,79,0.01487
80,80,0.01487
81,81,0.01487
82,82,0.01487
83,83,0.01487
84,84,0.01487
85,85,0.01487
86,86,0.01487
87,87,0.01487
88,88,0.01487
89,89,0.01487
90,90,1.0049
91,91,1.0049
92,92,1.0049
93,93,1.0049
94,94,0.999062
95,95,0.999062
96,96,0.999062
97,97,0.999062
98,98,0.999062
99,99,0.999062
100,100,0.999062
101,101,0.999062
102,102,0.999062
103,103,0.999062
104,104,0.01487
105,105,0.01487
106,106,0.01487
107,107,0.01487
108,108,0.01476
109,109,0.01476
110,110,0.01476
111,111,0.01476
112,112,0.01476
113,113,0.01476
114,114,0.01476
115,115,0.01476
116,116,0.01476
117,117,0.01487
118,118,0.01487
119,119,0.01487
120,120,0.01487
121,121,0.01487
122,122,0.01487
123,123,0.01487
124,124,0.01487
125,125,0.01487
126,126,0.01487
127,127,0.01487
128,128,0.01487
129,129,0.01487
130,130,1.002587
131,131,1.002587
132,132,1.002587
133,133,1.002587
134,134,1.002587
135,135,1.000164
136,136,1.000164
137,137,1.000164
138,138,1.000164
139,139,1.000164
140,140,0.999283
141,141,0.999283
142,142,0.999283
143,143,0.999283
144,144,0.999283
145,145,0.999283
146,146,0.999283
147,147,0.999283
148,148,0.999283
149,149,0.999283
150,150,0.999283
151,151,0.999283
152,152,0.999283
153,153,0.998732
154,154,0.998732
155,155,0.998732
156,156,0.998732
157,157,0.998732
158,158,0.998732
159,159,0.998181
160,160,0.998181
161,161,0.998181
162,162,0.998181
163,163,0.998181
164,164,0.998181
165,165,0.998181
166,166,0.998181
167,167,0.998181
168,168,0.998181
169,169,0.998181
170,170,0.998181
171,171,0.9973
172,172,0.9973
173,173,0.9973
174,174,0.996529
175,175,0.996529
176,176,0.996529
177,177,0.996529
178,178,0.996529
179,179,0.996529
180,180,0.996529
181,181,0.996529
182,182,0.996529
183,183,0.996529
184,184,0.996529
185,185,0.996529
186,186,0.996529
187,187,0.996529
188,188,0.996419
189,189,0.996419
190,190,0.996419
191,191,0.995868
192,192,0.995868
193,193,0.995868
194,194,0.995868
195,195,0.995868
196,196,0.996309
197,197,0.996309
198,198,0.996309
199,199,0.996309
200,200,0.996309
201,201,0.996309
202,202,0.996309
203,203,0.996309
204,204,0.996309
205,205,0.996309
206,206,0.996198
207,207,0.996198
208,208,0.996198
209,209,0.996198
210,210,0.995868
211,211,0.995868
212,212,0.995868
213,213,0.995868
214,214,0.995868
215,215,0.995978
216,216,0.995978
217,217,0.995978
218,218,0.995978
219,219,0.995978
220,220,0.995978
221,221,0.995978
222,222,0.995978
223,223,0.995978
224,224,0.995978
225,225,0.994987
226,226,0.994987
227,227,0.994987
228,228,0.995537
229,229,0.995537
230,230,0.995537
231,231,0.995537
232,232,0.994987
233,233,0.994987
234,234,0.994987
235,235,0.994987
236,236,0.994987
237,237,0.994877
238,238,0.994877
239,239,0.994877
240,240,0.994877
241,241,0.994877
242,242,0.994877
243,243,0.994877
244,244,0.994877
245,245,0.994877
246,246,0.994216
247,247,0.994216
248,248,0.994216
249,249,0.994216
250,250,0.993555
251,251,0.993555
252,252,0.993555
253,253,0.993555
254,254,0.993555
255,255,0.993555
256,256,0.993555
257,257,0.993555
258,258,0.993555
259,259,0.994766
260,260,0.994766
261,261,0.994766
262,262,0.994766
263,263,0.994326
264,264,0.994326
265,265,0.994326
266,266,0.994326
267,267,0.994326
268,268,0.993885
269,269,0.993885
270,270,0.993885
271,271,0.993885
272,272,0.993885
273,273,0.993995
274,274,0.993995
275,275,0.993995
276,276,0.993995
277,277,0.993995
278,278,0.993995
279,279,0.994326
280,280,0.994326
281,281,0.994326
282,282,0.994326
283,283,0.994326
284,284,0.994326
285,285,0.994326
286,286,0.994326
287,287,0.994326
288,288,0.994326
289,289,0.994326
290,290,0.994326
291,291,0.994326
292,292,0.994326
293,293,0.994326
294,294,0.994766
295,295,0.994766
296,296,0.994766
297,297,0.995097
298,298,0.995097
299,299,0.995097
300,300,0.995097
301,301,0.994326
302,302,0.994326
303,303,0.994326
304,304,0.994326
305,305,0.994326
306,306,0.994326
307,307,0.994326
308,308,0.994326
309,309,0.994326
310,310,0.994216
311,311,0.994216
312,312,0.994216
313,313,0.994216
314,314,0.995758
315,315,0.995758
316,316,0.995758
317,317,0.995758
318,318,0.995758
319,319,0.995758
320,320,0.995758
321,321,0.995758
322,322,0.995758
323,323,0.995758
324,324,0.995868
325,325,0.995868
326,326,0.995868
327,327,0.995868
328,328,0.995758
329,329,0.995758
330,330,0.995758
331,331,0.995758
332,332,0.995758
333,333,0.995758
334,334,0.995758
335,335,0.995758
336,336,0.995758
337,337,0.995758
338,338,0.995207
339,339,0.995207
340,340,0.995207
341,341,0.995207
342,342,0.995207
343,343,0.995207
344,344,0.995207
345,345,0.995207
346,346,0.995207
347,347,0.995207
348,348,0.995978
349,349,0.995978
350,350,0.995978
351,351,0.995978
352,352,0.995758
353,353,0.995758
354,354,0.995758
355,355,0.995758
356,356,0.996309
357,357,0.996309
358,358,0.996309
359,359,0.996309
360,360,0.996309
361,361,0.996969
362,362,0.996969
363,363,0.996969
364,364,0.996969
365,365,0.996969
366,366,0.996529
367,367,0.996529
368,368,0.996529
369,369,0.996529
370,370,0.996529
371,371,0.9973
372,372,0.9973
373,373,0.9973
374,374,0.9973
375,375,0.997961
376,376,0.997961
377,377,0.997961
378,378,0.997961
379,379,0.997961
380,380,0.997961
381,381,0.997961
382,382,0.997961
383,383,0.997961
384,384,0.998401
385,385,0.998401
386,386,0.998401
387,387,0.998401
388,388,0.998401
389,389,0.996749
390,390,0.996749
391,391,0.996749
392,392,0.996749
393,393,0.996749
394,394,0.996749
395,395,0.996749
396,396,0.996749
397,397,0.996749
398,398,0.996749
399,399,0.996749
400,400,0.996749
401,401,0.996749
402,402,0.996749
403,403,0.996749
404,404,0.996749
405,405,0.996749
406,406,0.99741
407,407,0.99741
408,408,0.99741
409,409,0.99741
410,410,0.99741
411,411,0.99741
412,412,0.997851
413,413,0.997851
414,414,0.997851
415,415,0.997851
416,416,0.998952
417,417,0.998952
418,418,0.998952
419,419,0.998952
420,420,0.998952
421,421,0.998952
422,422,0.998952
423,423,0.998952
424,424,0.998952
425,425,0.998952
426,426,0.997961
427,427,0.997961
428,428,0.997961
429,429,0.997961
430,430,0.99741
431,431,0.99741
432,432,0.99741
433,433,0.99741
434,434,0.998291
435,435,0.998291
436,436,0.998291
437,437,0.998291
438,438,0.998291
439,439,0.998181
440,440,0.998181
441,441,0.998181
442,442,0.998181
443,443,0.998181
444,444,0.998181
445,445,0.998181
446,446,0.998181
447,447,0.998181
448,448,0.998181
449,449,0.998181
450,450,0.998181
451,451,0.998181
452,452,0.998181
453,453,0.998181
454,454,0.998181
455,455,0.998181
456,456,0.998181
457,457,0.998181
458,458,0.998181
459,459,1.000054
460,460,1.000054
461,461,1.000054
462,462,1.000054
463,463,0.999723
464,464,0.999723
465,465,0.999723
466,466,0.999723
467,467,1.001596
468,468,1.001596
469,469,1.001596
470,470,1.001596
471,471,1.001596
472,472,1.001596
473,473,1.001596
474,474,1.001596
475,475,1.001596
476,476,1.001596
477,477,1.001926
478,478,1.001926
479,479,1.001926
480,480,1.001926
481,481,1.001926
482,482,1.001155
483,483,1.001155
484,484,1.001155
485,485,1.001155
486,486,1.001155
487,487,1.001596
488,488,1.001596
489,489,1.001596
490,490,1.001486
491,491,1.001486
492,492,1.001486
493,493,1.001486
494,494,1.001486
495,495,1.001486
496,496,1.001486
497,497,1.001486
498,498,1.001486
499,499,1.000054
500,500,1.000054
501,501,1.000054
502,502,1.000054
503,503,1.000054
504,504,1.000274
505,505,1.000274
506,506,1.000274
507,507,1.001045
508,508,1.001045
509,509,1.001045
510,510,1.001045
511,511,1.001045
512,512,1.001045
513,513,1.001045
514,514,1.001045
515,515,1.001045
516,516,1.001045
517,517,0.999944
518,518,0.999944
519,519,0.999944
520,520,0.999944
521,521,0.999944
522,522,0.999944
523,523,0.999944
524,524,0.999944
525,525,0.999944
526,526,0.999944
527,527,0.999944
528,528,0.999944
529,529,1.000164
530,530,1.000164
531,531,0.999613
532,532,0.999613
533,533,0.999613
534,534,0.999613
535,535,1.000825
536,536,1.000825
537,537,1.000825
538,538,1.000825
539,539,1.000825
540,540,0.999944
541,541,0.999944
542,542,0.999944
543,543,0.999944
544,544,0.999944
545,545,0.998622
546,546,0.998622
547,547,0.998622
548,548,0.998622
549,549,0.999613
550,550,0.999613
551,551,0.999613
552,552,0.999613
553,553,0.999613
554,554,1.000384
555,555,1.000384
556,556,1.000384
557,557,1.000384
558,558,1.000384
559,559,1.000384
560,560,1.000384
561,561,1.000384
562,562,1.000384
563,563,0.999833
564,564,0.999833
565,565,0.999833
566,566,0.999833
567,567,0.999833
568,568,0.999833
569,569,0.999833
570,570,0.999833
571,571,1.000164
572,572,1.000164
573,573,1.000164
574,574,1.000164
575,575,1.000164
576,576,1.000164
577,577,1.000164
578,578,1.000164
579,579,1.000164
580,580,1.000164
581,581,0.999833
582,582,0.999833
583,583,0.999833
584,584,0.999833
585,585,1.000715
586,586,1.000715
